title,price,release_date,url
Counter-Strike 2,N/A,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1
Where Winds Meet,N/A,"14 Nov, 2025",https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1
PUBG: BATTLEGROUNDS,N/A,"21 Dec, 2017",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
DJMAX RESPECT V,N/A,"11 Mar, 2020",https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_7000_150_1
ELDEN RING,N/A,"24 Feb, 2022",https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1
ARC Raiders,N/A,"30 Oct, 2025",https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1
Baldur's Gate 3,N/A,"3 Aug, 2023",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1
DJMAX RESPECT V - V LIBERTY IV PACK,N/A,"17 Dec, 2025",https://store.steampowered.com/app/4077430/DJMAX_RESPECT_V__V_LIBERTY_IV_PACK/?snr=1_7_7_7000_150_1
Mount & Blade II: Bannerlord,N/A,"25 Oct, 2022",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_1
Diablo® IV,N/A,"28 Apr, 2026",https://store.steampowered.com/app/2344520/Diablo_IV/?snr=1_7_7_7000_150_1
ELDEN RING NIGHTREIGN,N/A,"29 May, 2025",https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN/?snr=1_7_7_7000_150_1
Clair Obscur: Expedition 33,N/A,"24 Apr, 2025",https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1
Monster Hunter Wilds,N/A,"27 Feb, 2025",https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/?snr=1_7_7_7000_150_1
Cyberpunk 2077,N/A,"9 Dec, 2020",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1
Team Fortress 2,N/A,"10 Oct, 2007",https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_1
Kingdom Come: Deliverance II,N/A,"4 Feb, 2025",https://store.steampowered.com/app/1771300/Kingdom_Come_Deliverance_II/?snr=1_7_7_7000_150_1
Dead by Daylight,N/A,"14 Jun, 2016",https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_1
Eternal Return,N/A,"19 Jul, 2023",https://store.steampowered.com/app/1049590/Eternal_Return/?snr=1_7_7_7000_150_1
Battlefield™ 6,N/A,"10 Oct, 2025",https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1
Stellar Blade™,N/A,"11 Jun, 2025",https://store.steampowered.com/app/3489700/Stellar_Blade/?snr=1_7_7_7000_150_1
